smiles,solub
Cc1ccc(cc1)N2CCN(CC2)C(=S)c3oc(cc3)c4ccccc4[N+](=O)[O-],0.0
CCOC(=O)c1csc(n1)n2cc(Nc3ccc(cc3)S(=O)(=O)N)c(n2)c4cccc(c4)c5ccccc5,0.0
CS(=O)(=O)c1cccc(c1)S(=O)(=O)Nc2cccc(c2)N3CCCCC3,1.0
CCc1cccc(CC)c1N2C(=O)C(=CC(=C2C3CCCO3)C(=O)N4CCNCC4)c5nc(cs5)c6ccc(Cl)cc6,0.0
OCCc1ccccc1N2C3=C(C=C(C2=O)c4nc(cs4)c5ccc(Cl)cc5)C(=O)CCC3,0.0
CCc1cccc(CC)c1N2C(=O)C(=CC(=C2C(C)C)C(=O)NCCO)c3nc(cs3)c4ccc(Cl)cc4,0.0
COc1cccc(c1)c2oc3ccc(NC(=O)c4ccc(F)c(Cl)c4)cc3n2,0.0
Oc1c(F)cccc1CN2CCCC(C2)c3nc(ncc3c4ccccc4)c5ccncc5,0.0
Cc1ccc(cc1C)c2cc(C(=O)Nc3cccc(c3)S(=O)(=O)N)c4ccccc4n2,0.0
CCN(c1ccc(CCO)cc1)c2cc(ncn2)N(C)c3ccc(OC)c(Cl)c3,0.0
CC1=C(C(N=C(Nc2oc3ccccc3n2)N1)c4ccccc4Cl)C(=O)Nc5ccc(CO)nc5,0.0
Cc1cc(OCCCc2c([nH]c3c(c(Cl)ccc23)c4c(C)nn(C)c4C)C(=O)Nc5cccc(c5)C(=O)O)cc(C)c1Cl,1.0
Cc1cc(SCc2sc(nc2C)c3ccc(cc3)C#N)ccc1OCC(=O)O,1.0
Cc1cc(OCCCc2c(C)n(CCC(=O)NS(=O)(=O)c3ccncc3)c4c(cccc24)c5c(C)nn(C)c5C)cc(C)c1Cl,1.0
Cc1cc(OCCCc2c([nH]c3c(cccc23)c4c(C)n(C)nc4CO)C(=O)NS(=O)(=O)c5ccccc5)cc(C)c1Cl,0.0
Cc1ccccc1c2[nH]c(C(=O)O)c(CCCOc3cc(C)c(Cl)c(C)c3)c2C,0.0
COc1ccc(cc1)n2ncc3C(CCCc23)NC(=O)c4cc(C)ccn4,0.0
[O-][n+]1onc(C(=O)c2cccc(OCc3ccccc3)c2)c1C(=O)c4cccc(OCc5ccccc5)c4,0.0
CC(=O)C1=C2C=CCCN2C(=O)NC1c3cccnc3,1.0
[O-][N+](=O)c1ccccc1C(=O)NC2=Nc3sccc3C(=O)S2,1.0
CCCCCNC(=O)c1cccc(c1)c2ccccc2\C=C/3\NC(=O)N(C3=O)c4ccc(Cl)cc4,0.0
CCOc1ccc(cc1)C(C)Nc2ccc3c(c2)ncn3C(C)(C)C,1.0
Cc1cc(nn1C(C)(C)C)C(=O)NNS(=O)(=O)c2ccc(nc2)C(F)(F)F,1.0
Cc1ccc(cc1)c2nn(c3ncnc(N)c23)C(C)(C)C,0.0
CCOc1cccc(OCC)c1N2C3=C(C=C(C2=O)c4nc(cs4)c5ccc(Cl)cc5)C(=O)CCC3,0.0
COc1cccc(Br)c1c2oc(C)c(CN3CCC(CC3)C(=O)NCCCN4C[C@H](C)C[C@H](C)C4)n2,1.0
COc1cc(O)c(C(CC(=O)N2C[C@H](C)C[C@H](C)C2)c3ccc(OC)nc3)c(OC)c1,1.0
CCCCN(CCCNC(=O)C1CCN(CC1)C(=O)CN2C(=O)Oc3ccc(Cl)cc23)Cc4ccccc4,1.0
CCOc1ccc(CCN(Cc2ccccc2)C(=O)c3cc4sc(Br)cc4n3Cc5ccccc5)cc1OCC,0.0
Oc1ccc(CCNc2ncnc3ccc(Cl)cc23)cc1,0.0
COc1ccccc1C2=Nc3ccc(Br)cc3C(N2CCCO)c4ccccc4,1.0
O=C([C@H](NS(=O)(=O)c1ccc2NC(=O)C=Cc2c1)c3cccs3)N(Cc4occc4)Cc5cccs5,0.0
[O-][n+]1c2ccccc2c3C(=NCCn13)c4ccc(F)c(F)c4,1.0
C[C@@H]1CN(C[C@H](C)N1Cc2ccc(cc2)C(F)(F)F)C(=S)Nc3cc(C)cc(C)n3,1.0
FC(F)(F)S(=O)(=O)c1ccc(cc1)S(=O)(=O)Nc2ccccc2N3CCCCC3,0.0
COC(=O)CNCc1c(O)ccc2ccccc12,1.0
