smiles,pampar
COc1ccc2ncc(C(=O)N3CCC(F)(F)CC3)c(N4CCC5(CC4)OCCO5)c2c1,2.586401306
CC(C)CCn1c(Oc2ccc(cc2)N3CCCC3=O)nc4N(C)C(=O)N(C)C(=O)c14,3.013856224
Cc1ccc(cc1)S(=O)(=O)Nc2cnccc2C(=O)Nc3ccc(cc3)C#N,1.8424606430000001
Cc1ccnc(NC(=S)N2CCC(CC2)c3cccc(c3)C(F)(F)F)c1,2.827571186
Fc1c(Cl)cccc1CNc2ccc(cc2)S(=O)(=O)Nc3ccccc3,2.583303582
COc1ccc(cc1)n2ncc3C(CCCc23)NC(=O)c4ccc(OC(F)(F)F)cc4,2.310975565
Oc1ccc(cc1)C(=S)N2CCN(CC2)c3cccc(Cl)c3,2.830396651
COc1ccc(OC)c(c1)N2C(=O)C(=C(N3CCCCC3)C2=O)Cl,3.206907498
Cc1ccc(CN(CCNC(=O)C2CCN(CC2)C(=O)c3oc4ccccc4c3)C5CCCCC5)cc1,3.1346620639999996
Cc1ccc(cc1)S(=O)(=O)Nc2cnccc2C(=O)Nc3ccc(cc3)n4cncn4,0.918710618
CCOc1ccc(CNc2ccc3N(C)CCc3c2)cc1,2.570303311
CC(C)N1CCC(CC1)N2CCN(Cc3oc(nc3)c4ccccc4Cl)CC2CCO,1.203659386
Cc1onc(C)c1N2C3=C(C=C(C2=O)c4nc(cs4)c5ccc(Cl)cc5)C(=O)CC(C)(C)C3,1.0965673059999999
CC(=O)c1c(C)[nH]c(C(=O)Nc2cccc(c2)S(=O)(=O)Nc3ccc(Br)cc3)c1C,2.459488474
CCc1cccc(CC)c1N2C3=C(C=C(C2=O)c4nc(cs4)c5ccccc5C(F)(F)F)C(=O)CC(C)(C)C3,1.9275814530000002
OCc1ccccc1N2C3=C(C=C(C2=O)c4nc(cs4)c5ccc(Cl)cc5)C(=O)CCC3,1.588532205
COc1ccc(cc1)n2ncc3C(CCCc23)NC(=O)c4ccc(F)c(F)c4,2.907912477
[O-][N+](=O)c1ccc(cc1)S(=O)(=O)Nc2cccc(c2)C(=O)NCC3(CCCCC3)N4CCCCC4,2.604489262
CCN(CC)C(=O)c1ccc(NC(=O)c2ccc(OC)c(I)c2)cc1,2.91924381
Cc1csc2ncnc(N3CCN(CC3)S(=O)(=O)c4cccc(c4)C(F)(F)F)c12,3.097971718
Cc1cc(nn1C(C)(C)C)C(=O)NNS(=O)(=O)c2ccccn2,1.277184567
COc1cc(O)c(C(CC(=O)N2C[C@H](C)C[C@H](C)C2)c3nc4ccccc4s3)c(OC)c1,3.112237385
