smiles,herg
Cc1ccc(cc1NC(=O)c2cccc(NC(=O)Nc3cccc(c3)C(=O)Nc4cc(ccc4C)C(=O)Nc5ccc(c6cc(cc(c56)S(=O)(=O)O)S(=O)(=O)O)S(=O)(=O)O)c2)C(=O)Nc7ccc(c8cc(cc(c78)S(=O)(=O)O)S(=O)(=O)O)S(=O)(=O)O,0.0
COc1ccc(CN2CCN(CC2)C(c3ccc(F)cc3)c4ccc(F)cc4)c(OC)c1OC,1.0
CC(C)(C)NC[C@@H](O)c1ccc(O)c(CO)n1,0.0
O=C1Oc2ccccc2C=C1,0.0
NNCc1cccc(O)c1,0.0
CNC(=O)OCc1cccc(COC(=O)NC)n1,0.0
CNc1cc(NS(=O)(=O)c2ccc(N)cc2)nc(NC)n1,0.0
CC[C@@H](CO)NC(=O)[C@H]1CN(C)[C@@H]2Cc3cn(C)c4cccc(C2=C1)c34,0.0
COc1ccc(cc1)C(CN(C)C)C2(O)CCCCC2,0.0
CC(C)C1CCC(C)CC1O,0.0
CCCCC\C=C/C\C=C/C\C=C/CCCCC(=O)O,0.0
Nc1nc(O)c(Br)c(n1)c2ccccc2,0.0
FC(F)(F)C(Cl)Br,0.0
CC(C(=O)O)c1ccc2c(c1)[nH]c3ccc(Cl)cc23,0.0
Cc1cc2CCCS(=O)(=O)c2cc1S(=O)(=O)N,0.0
NCCc1c[nH]c2ccc(O)cc12,0.0
OC(\C=C\C(=O)[O-])c1ccc(Cl)cc1,0.0
Oc1ccc(cc1)c2sc3cc(O)ccc3c2C(=O)c4ccc(OCCN5CCCCC5)cc4,1.0
OC(=O)COc1ccc(CCNS(=O)(=O)c2ccccc2)s1,0.0
Oc1cccc2C(=O)c3cccc(O)c3C(=O)c12,0.0
CN(C)CCCO[C@H]1C(O[C@@H]2OC(C)(C)O[C@H]12)[C@H](O)CO,0.0
CN1CCC(=C2c3ccccc3Sc4ccccc24)CC1,1.0
C[C@H](N)C(=O)Nc1c(C)cccc1C,0.0
CCN1CC(CCN2CCOCC2)C(C1=O)(c3ccccc3)c4ccccc4,0.0
NC1CC1c2ccccc2,0.0
CNCCc1ccccn1,1.0
C\C(=C/C=C/C=C(\C)/C=C/C=C(\C)/C=C/C1=C(C)C(=O)CCC1(C)C)\C=C\C=C(/C)\C=C\C2=C(C)C(=O)CCC2(C)C,0.0
ClCC1(CCl)C(=C)C2(Cl)C(Cl)C(Cl)C1(Cl)C2(Cl)Cl,1.0
NC1CONC1=O,0.0
CN1CCc2cc(NC(=O)Nc3cccnc3)ccc12,0.0
Nc1ncnc2c1nc(Br)n2C3O[C@H]4COP(=O)([O-])O[C@@H]4C3O,0.0
NC(CSSCC(N)C(=O)O)C(=O)O,0.0
Nc1ncnc2[nH]cnc12,0.0
Cc1onc(c1C(=O)NC2C3SC(C)(C)C(N3C2=O)C(=O)[O-])c4c(F)cccc4Cl,0.0
[O-][N+](=O)c1ccc(cc1)c2oc(\C=N\N3CC(=O)NC3=O)cc2,0.0
Oc1cccc(O)c1,0.0
CCNC(=O)NCc1cccc(Cl)c1,0.0
CC1=C(CC(=O)O)c2cc(F)ccc2/C/1=C\c3ccc(cc3)S(=O)(=O)C,0.0
CCc1c(C)[nH]c2CCC(CN3CCOCC3)C(=O)c12,0.0
CN\C(=C/[N+](=O)[O-])\NCCSCc1oc(CN(C)C)cc1,0.0
CN1CCC[C@H]1c2cccnc2,0.0
Oc1ccc(\C=C(/C#N)\C(=O)NCCc2ccccc2)cc1O,1.0
CNCC[C@H](Oc1cccc2ccccc12)c3cccs3,1.0
CCCNC(C)C(=O)Nc1ccccc1C,0.0
CCCCCC(O)C1C(O)CC(O)CC(O)CC(O)CC(O)CC(O)C(O)C(O)C(=CC=CC=CC=CC=CC(O)C(C)OC1=O)C,0.0
CC(O)COc1ccccc1,0.0
CCc1ncnc2cc(OC)c(OC)cc12,0.0
CN1CCCC(CN2c3ccccc3Sc4ccccc24)C1,1.0
CC(C[N+](C)(C)C)OC(=O)C,0.0
COc1ccc(cc1)c2noc(CC(=O)O)c2c3ccc(OC)cc3,0.0
CC(C)CN(C[C@@H](OP(=O)([O-])[O-])[C@H](Cc1ccccc1)NC(=O)O[C@@H]2CCOC2)S(=O)(=O)c3ccc(N)cc3,0.0
OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)n2cnc3c(S)ncnc23,0.0
O=C(N1CCCCC1)c2ccc3OCCOc3c2,0.0
NCCCCCC(=O)O,0.0
[O-][N+](=O)c1ccc(cc1)c2oc(\C=N\N3CC(=O)[N-]C3=O)cc2,0.0
CC1(C)OC[C@@H]2O[C@]3(OC(C)(C)O[C@@H]3[C@@H]2O1)C(=O)O,0.0
COc1ccc2CC3C4CCCCC4(CCN3C)c2c1,0.0
CCOC(=O)NC(O)C(Cl)(Cl)Cl,0.0
Clc1ccc2nsnc2c1NC3=NCCN3,0.0
CN1CCC(CC1)c2c[nH]c3ccc(O)cc23,1.0
OC(=O)c1nn(Cc2ccc(Cl)cc2Cl)c3ccccc13,0.0
COC(=O)[C@H](N)CCCNC(=N)N[N+](=O)[O-],0.0
CC(=O)N(CC(O)CN(C(=O)C)c1c(I)c(C(=O)NC[C@@H](O)CO)c(I)c(C(=O)NC[C@@H](O)CO)c1I)c2c(I)c(C(=O)NC[C@@H](O)CO)c(I)c(C(=O)NC[C@@H](O)CO)c2I,0.0
CN1[C@H]2C[C@@H](C[C@H]1[C@H]3O[C@@H]23)OC(=O)[C@H](CO)c4ccccc4,0.0
C[C@H](CN(C(=O)C)c1c(I)cc(I)c(N)c1I)C(=O)O,0.0
O=C1[C@@H]2CCCC[C@@H]2C(=O)N1CCCCN3CCN(CC3)c4nsc5ccccc45,1.0
NC1=NC2=C(N(CC=C)C(=O)N2C3OC(CO)C(O)C3O)C(=O)N1,0.0
OCCNCCNc1ccc(NCCNCCO)c2C(=O)c3c(O)ccc(O)c3C(=O)c12,0.0
[O-][N+](=O)c1ccc(F)c(c1)[N+](=O)[O-],0.0
COc1ccc(cc1)C(=C(c2ccc(OC)cc2)c3ccc(OC)cc3)Cl,0.0
CC1(C)[C@@H]2CC[C@]1(C)[C@H](C2)OC(=O)CSC#N,0.0
CC1(C)O[C@@H]2C[C@@H]3[C@@H]4C[C@@H](F)C5=CC(=O)CC[C@]5(C)[C@H]4[C@H](O)C[C@@]3(C)[C@]2(O1)C(=O)CO,0.0
ClC=C(Cl)Cl,0.0
